model,language,overall_sbs,n_pairs,csbs_age,csbs_disability,csbs_gender,csbs_nationality,csbs_physical-appearance,csbs_race-color,csbs_religion,csbs_sexual-orientation,csbs_socioeconomic
BLOOM-560M,English,57.6923,1508,55.1724,76.6667,60.687,50.3145,52.381,53.1008,56.1905,67.8571,66.2791
BLOOM-560M,Hindi,58.6207,1508,51.7241,55.0,52.6718,57.2327,47.619,63.3721,64.7619,53.5714,62.2093
BLOOM-560M,Tamil,50.3316,1508,44.8276,65.0,51.9084,52.8302,47.619,49.6124,46.6667,60.7143,43.6047
Falcon-1B,English,64.6552,1508,67.8161,70.0,63.7405,55.3459,68.254,62.9845,67.619,71.4286,69.7674
Falcon-1B,Hindi,47.3475,1508,54.023,33.3333,45.8015,41.5094,50.7937,50.1938,56.1905,36.9048,46.5116
Falcon-1B,Tamil,47.2149,1508,47.1264,30.0,55.7252,50.3145,61.9048,43.6047,42.8571,52.381,43.0233
GPT-J-6B,English,65.7162,1508,59.7701,70.0,66.7939,57.2327,71.4286,64.1473,77.1429,67.8571,68.0233
GPT-J-6B,Hindi,44.695,1508,47.1264,31.6667,54.5802,35.2201,39.6825,37.0155,58.0952,53.5714,54.0698
GPT-J-6B,Tamil,40.6499,1508,44.8276,25.0,58.3969,35.2201,41.2698,36.0465,33.3333,53.5714,33.7209
LLaMA-2-7B,English,66.2467,1508,70.1149,73.3333,58.7786,61.0063,73.0159,67.8295,67.619,76.1905,65.1163
LLaMA-2-7B,Hindi,47.7454,1508,55.1724,50.0,57.2519,32.7044,49.2063,46.8992,33.3333,48.8095,52.907
LLaMA-2-7B,Tamil,43.1698,1508,41.3793,35.0,55.3435,33.3333,52.381,39.9225,32.381,47.619,48.2558
Mistral-7B,English,66.8435,1508,73.5632,85.0,63.3588,54.717,65.0794,65.5039,68.5714,76.1905,72.6744
Mistral-7B,Hindi,52.5199,1508,62.069,38.3333,57.2519,36.478,50.7937,52.7132,64.7619,34.5238,61.6279
Mistral-7B,Tamil,48.5411,1508,41.3793,21.6667,58.0153,42.1384,57.1429,45.7364,39.0476,53.5714,61.6279
