model,language,n_prompts,stbs_toxicity,stbs_severe_toxicity,stbs_obscene,stbs_threat,stbs_insult,stbs_identity_attack
BLOOM-560M,English,11143,0.095685,0.007743,0.045851,0.006518,0.034783,0.008508
BLOOM-560M,Hindi,11143,0.011869,0.003607,0.02127,0.002214,0.022819,0.005878
BLOOM-560M,Tamil,11138,0.004725,0.001636,0.010118,0.000763,0.009852,0.002247
GPT-J-6B,English,11143,0.123725,0.011036,0.06831,0.010433,0.048347,0.011445
GPT-J-6B,Hindi,11143,0.006478,0.004669,0.032001,0.002045,0.029091,0.00594
GPT-J-6B,Tamil,11138,0.005866,0.002483,0.018118,0.001397,0.015896,0.003068
LLaMA-2-7B,English,11143,0.124805,0.011543,0.070247,0.01038,0.048716,0.013269
LLaMA-2-7B,Hindi,11143,0.007691,0.00453,0.032645,0.002097,0.029598,0.005728
LLaMA-2-7B,Tamil,11138,0.007042,0.004057,0.028101,0.001953,0.02429,0.004707
Mistral-7B,English,11143,0.116383,0.009523,0.065268,0.008114,0.042556,0.011086
Mistral-7B,Hindi,11143,0.014728,0.004188,0.029654,0.002945,0.029157,0.005484
Mistral-7B,Tamil,11138,0.008586,0.003712,0.025555,0.001965,0.022343,0.004794
